timestamp_ms,session_id,joint_1_angle_deg,joint_2_angle_deg,joint_3_angle_deg,joint_4_angle_deg,joint_1_torque_Nm,joint_2_torque_Nm,joint_3_torque_Nm,joint_4_torque_Nm,end_effector_x_mm,end_effector_y_mm,end_effector_z_mm,velocity_mm_s,acceleration_mm_s2,battery_voltage_V,current_draw_A,cpu_temp_C,imu_roll_deg,imu_pitch_deg,imu_yaw_deg,lidar_front_mm,lidar_rear_mm,ultrasonic_left_mm,ultrasonic_right_mm,force_sensor_N,task_complete,error_code
0,S001,0.00,0.00,0.00,0.00,0.12,0.08,0.05,0.03,300.0,0.0,150.0,0.0,0.0,24.82,1.20,38.1,0.02,-0.01,90.00,2100,1850,450,430,0.00,0,0
50,S001,2.31,1.15,0.87,0.43,1.34,0.95,0.61,0.28,302.1,5.8,151.2,45.2,120.4,24.80,2.45,38.3,0.05,-0.03,90.02,2098,1847,449,431,0.12,0,0
100,S001,5.82,2.91,2.12,1.06,2.87,2.01,1.34,0.67,306.4,14.5,153.8,89.7,98.3,24.77,3.82,38.6,0.08,-0.05,90.05,2095,1844,448,432,0.31,0,0
150,S001,10.14,5.07,3.75,1.88,4.51,3.18,2.09,1.04,313.2,25.3,157.6,124.3,62.1,24.73,5.10,38.9,0.11,-0.07,90.09,2091,1840,447,433,0.58,0,0
200,S001,15.03,7.52,5.54,2.77,5.94,4.20,2.78,1.39,322.1,37.6,162.5,148.6,31.2,24.70,6.21,39.2,0.13,-0.09,90.12,2087,1836,446,434,0.92,0,0
250,S001,20.18,10.09,7.43,3.72,7.12,5.03,3.34,1.67,332.8,50.5,168.0,162.3,14.8,24.66,7.18,39.6,0.15,-0.11,90.16,2083,1831,445,435,1.28,0,0
300,S001,25.00,12.50,9.20,4.60,7.95,5.61,3.74,1.87,344.0,63.1,173.6,168.4,5.1,24.63,7.89,39.9,0.16,-0.12,90.19,2078,1827,444,436,1.61,0,0
350,S001,29.44,14.72,10.82,5.41,8.41,5.94,3.96,1.98,355.2,75.2,179.0,163.1,8.7,24.60,8.34,40.2,0.17,-0.13,90.21,2074,1823,443,437,1.87,0,0
400,S001,33.10,16.55,12.17,6.09,8.52,6.02,4.01,2.01,365.5,85.9,183.9,151.8,18.4,24.57,8.52,40.5,0.18,-0.14,90.24,2070,1819,442,438,2.04,0,0
450,S001,35.87,17.94,13.19,6.60,8.31,5.86,3.91,1.96,374.2,94.4,188.1,135.6,28.9,24.55,8.42,40.8,0.18,-0.14,90.26,2067,1816,441,439,2.13,0,0
500,S001,37.62,18.81,13.83,6.92,7.84,5.53,3.69,1.85,381.1,100.5,191.6,116.2,38.6,24.52,8.08,41.1,0.18,-0.15,90.28,2063,1812,440,440,2.14,0,0
550,S001,38.40,19.20,14.11,7.06,7.18,5.07,3.38,1.69,386.3,104.2,194.2,94.7,46.8,24.50,7.56,41.3,0.18,-0.15,90.29,2060,1809,439,441,2.08,0,0
600,S001,38.24,19.12,14.05,7.03,6.38,4.50,3.00,1.50,389.7,105.7,195.9,72.3,53.1,24.47,6.91,41.6,0.17,-0.14,90.30,2057,1806,438,442,1.97,0,0
650,S001,37.21,18.61,13.68,6.84,5.51,3.89,2.59,1.30,391.5,104.9,196.7,50.2,57.4,24.45,6.19,41.8,0.17,-0.14,90.31,2054,1803,437,443,1.81,0,0
700,S001,35.42,17.71,13.01,6.51,4.61,3.25,2.17,1.09,391.9,102.1,196.7,29.4,59.2,24.43,5.43,42.0,0.16,-0.14,90.32,2051,1800,436,444,1.62,0,0
750,S001,33.01,16.51,12.13,6.07,3.72,2.63,1.75,0.88,391.0,97.4,195.9,10.8,58.8,24.41,4.68,42.1,0.15,-0.13,90.32,2049,1797,435,445,1.41,0,0
800,S001,30.12,15.06,11.07,5.54,2.88,2.04,1.36,0.68,389.2,91.1,194.5,14.3,56.4,24.39,3.97,42.3,0.14,-0.13,90.33,2046,1795,434,446,1.19,0,0
850,S001,26.89,13.45,9.88,4.94,2.13,1.50,1.00,0.50,386.5,83.5,192.4,36.2,51.9,24.37,3.31,42.4,0.13,-0.12,90.33,2044,1793,433,447,0.97,0,0
900,S001,23.47,11.74,8.62,4.31,1.47,1.04,0.69,0.35,383.3,74.8,189.9,55.7,45.6,24.35,2.73,42.5,0.12,-0.11,90.33,2041,1790,432,448,0.76,0,0
950,S001,19.98,9.99,7.34,3.67,0.92,0.65,0.43,0.22,379.6,65.4,187.0,71.4,37.8,24.34,2.24,42.5,0.11,-0.10,90.33,2039,1788,431,449,0.57,0,0
1000,S001,16.54,8.27,6.07,3.04,0.49,0.35,0.23,0.12,375.8,55.5,183.9,83.5,28.6,24.32,1.84,42.6,0.10,-0.09,90.33,2037,1786,430,450,0.41,0,0
1050,S001,13.24,6.62,4.86,2.43,0.19,0.14,0.09,0.05,372.1,45.6,180.7,91.6,18.2,24.31,1.54,42.6,0.09,-0.08,90.33,2035,1784,429,451,0.27,0,0
1100,S001,10.18,5.09,3.74,1.87,0.04,0.03,0.02,0.01,368.7,35.9,177.6,95.3,7.4,24.30,1.34,42.6,0.07,-0.07,90.32,2033,1782,428,452,0.16,0,0
1150,S001,7.43,3.72,2.73,1.37,0.03,0.02,0.01,0.01,365.8,26.7,174.6,94.4,3.8,24.28,1.23,42.5,0.06,-0.06,90.32,2031,1780,428,453,0.08,0,0
